dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR100,BPTT,1,11.902,33.656,3.785,21.98,53.3,3.113,0.001
CIFAR100,BPTT,2,24.438,54.954,3.011,31.82,64.23,2.628,0.001
CIFAR100,BPTT,3,31.592,63.824,2.647,38.01,70.3,2.35,0.001
CIFAR100,BPTT,4,37.742,69.658,2.378,42.4,74.76,2.151,0.001
CIFAR100,BPTT,5,42.236,74.03,2.162,47.41,78.25,1.931,0.001
CIFAR100,BPTT,6,45.746,77.354,1.998,49.82,79.75,1.851,0.001
CIFAR100,BPTT,7,49.316,79.88,1.853,51.34,81.36,1.765,0.001
CIFAR100,BPTT,8,52.208,82.124,1.726,52.53,82.08,1.752,0.001
CIFAR100,BPTT,9,54.586,83.998,1.627,55.36,83.86,1.637,0.001
CIFAR100,BPTT,10,56.974,85.418,1.532,56.67,84.38,1.588,0.001
CIFAR100,BPTT,11,59.514,86.81,1.44,57.3,85.17,1.584,0.001
CIFAR100,BPTT,12,61.38,87.862,1.361,58.67,85.85,1.533,0.001
CIFAR100,BPTT,13,63.016,89.182,1.289,59.47,86.82,1.481,0.001
CIFAR100,BPTT,14,64.97,89.898,1.223,59.03,86.71,1.501,0.001
CIFAR100,BPTT,15,66.596,90.882,1.157,61.52,87.05,1.461,0.001
CIFAR100,BPTT,16,67.974,91.76,1.098,61.68,87.76,1.426,0.001
CIFAR100,BPTT,17,69.55,92.39,1.039,62.29,87.39,1.455,0.001
CIFAR100,BPTT,18,70.888,93.01,0.99,63.45,88.63,1.424,0.001
CIFAR100,BPTT,19,72.096,93.51,0.945,62.72,88.0,1.43,0.001
CIFAR100,BPTT,20,73.15,94.03,0.902,63.68,88.4,1.399,0.001
CIFAR100,BPTT,21,74.744,94.564,0.853,63.84,88.37,1.439,0.001
CIFAR100,BPTT,22,75.552,94.92,0.824,63.79,88.51,1.44,0.001
CIFAR100,BPTT,23,76.494,95.34,0.779,63.31,88.44,1.459,0.001
CIFAR100,BPTT,24,77.044,95.418,0.764,62.95,88.39,1.489,0.001
CIFAR100,BPTT,25,78.612,95.804,0.712,63.38,88.4,1.545,0.001
CIFAR100,BPTT,26,79.024,96.114,0.693,64.06,88.6,1.498,0.0005
CIFAR100,BPTT,27,83.774,97.16,0.536,66.69,89.41,1.43,0.0005
CIFAR100,BPTT,28,85.288,97.496,0.493,66.91,89.54,1.443,0.0005
CIFAR100,BPTT,29,86.028,97.754,0.46,66.34,89.49,1.468,0.0005
CIFAR100,BPTT,30,86.47,97.84,0.448,66.98,89.46,1.457,0.0005
CIFAR100,BPTT,31,87.076,97.926,0.436,66.28,89.89,1.457,0.0005
CIFAR100,BPTT,32,87.144,97.988,0.431,66.87,89.62,1.488,0.00025
CIFAR100,BPTT,33,89.502,98.32,0.36,67.66,90.07,1.465,0.00025
CIFAR100,BPTT,34,90.15,98.47,0.337,67.83,89.94,1.489,0.00025
CIFAR100,BPTT,35,90.328,98.498,0.329,67.93,90.05,1.474,0.00025
CIFAR100,BPTT,36,90.37,98.692,0.322,67.86,90.33,1.474,0.00025
CIFAR100,BPTT,37,90.764,98.612,0.313,68.01,89.88,1.491,0.00025
CIFAR100,BPTT,38,90.86,98.642,0.31,67.86,90.14,1.502,0.000125
CIFAR100,BPTT,39,91.836,98.702,0.282,68.35,90.12,1.5,0.000125
CIFAR100,BPTT,40,91.928,98.816,0.274,68.26,90.42,1.503,0.000125
CIFAR100,BPTT,41,92.304,98.842,0.265,68.39,90.28,1.51,0.000125
CIFAR100,BPTT,42,92.464,98.87,0.262,68.1,90.45,1.515,0.000125
CIFAR100,BPTT,43,92.566,98.932,0.256,68.02,90.43,1.514,0.000125
CIFAR100,BPTT,44,92.59,98.914,0.254,68.19,90.35,1.499,6.25e-05
CIFAR100,BPTT,45,92.912,98.964,0.246,68.36,90.48,1.509,6.25e-05
CIFAR100,BPTT,46,93.088,98.964,0.237,68.5,90.36,1.522,6.25e-05
CIFAR100,BPTT,47,93.208,99.048,0.237,68.33,90.43,1.523,6.25e-05
CIFAR100,BPTT,48,93.16,98.998,0.238,68.33,90.49,1.525,6.25e-05
