dataset,method,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR100,TESS,1,6.9,24.172,8.192,11.13,34.67,8.691,0.001
CIFAR100,TESS,2,14.11,39.558,8.475,19.7,49.7,8.379,0.001
CIFAR100,TESS,3,21.106,50.722,8.179,25.25,56.35,8.361,0.001
CIFAR100,TESS,4,27.04,58.896,7.733,30.82,62.07,8.091,0.001
CIFAR100,TESS,5,32.23,64.732,7.305,35.47,69.3,7.444,0.001
CIFAR100,TESS,6,36.44,69.084,6.93,40.94,73.35,6.818,0.001
CIFAR100,TESS,7,39.982,72.434,6.539,43.98,75.3,6.678,0.001
CIFAR100,TESS,8,43.196,75.178,6.218,47.06,77.65,6.153,0.001
CIFAR100,TESS,9,46.34,77.79,5.846,48.05,79.06,6.23,0.001
CIFAR100,TESS,10,48.886,79.644,5.559,51.12,81.58,5.87,0.001
CIFAR100,TESS,11,51.314,81.538,5.265,51.8,81.68,5.872,0.001
CIFAR100,TESS,12,53.354,83.074,5.027,53.62,83.26,5.73,0.001
CIFAR100,TESS,13,55.488,84.526,4.769,54.84,84.43,5.625,0.001
CIFAR100,TESS,14,57.61,85.76,4.533,55.89,84.4,5.582,0.001
CIFAR100,TESS,15,58.96,86.788,4.354,57.37,85.27,5.375,0.001
CIFAR100,TESS,16,60.462,87.882,4.131,58.68,85.69,5.404,0.001
CIFAR100,TESS,17,62.114,88.534,3.958,60.03,86.62,5.087,0.001
CIFAR100,TESS,18,63.59,89.59,3.799,59.57,86.73,5.292,0.001
CIFAR100,TESS,19,65.056,90.164,3.611,61.02,87.3,5.141,0.001
CIFAR100,TESS,20,66.054,90.786,3.496,60.72,87.0,5.304,0.001
CIFAR100,TESS,21,67.502,91.546,3.322,61.7,88.12,5.123,0.001
CIFAR100,TESS,22,68.38,91.814,3.249,62.73,88.38,5.163,0.001
CIFAR100,TESS,23,69.628,92.548,3.045,63.17,88.03,5.19,0.0005
CIFAR100,TESS,24,74.238,94.314,2.459,65.14,89.48,4.865,0.0005
CIFAR100,TESS,25,75.452,94.882,2.333,65.41,89.45,4.874,0.0005
CIFAR100,TESS,26,76.202,94.854,2.286,65.45,89.41,4.945,0.0005
CIFAR100,TESS,27,77.394,95.392,2.126,66.06,89.71,4.897,0.0005
CIFAR100,TESS,28,77.578,95.55,2.12,65.77,89.83,4.935,0.0005
CIFAR100,TESS,29,78.266,95.828,2.046,65.57,89.86,4.971,0.0005
CIFAR100,TESS,30,78.614,95.928,2.012,65.98,89.85,4.979,0.00025
