dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
DVSGesture,0,1,53.01,94.368,8.065,70.455,99.621,4.429,0.001
DVSGesture,0,2,72.72,99.07,5.081,83.712,100.0,2.776,0.001
DVSGesture,0,3,86.412,99.561,3.271,92.045,100.0,1.43,0.001
DVSGesture,0,4,92.224,99.768,2.063,92.424,100.0,2.986,0.001
DVSGesture,0,5,94.213,99.923,1.682,96.591,99.621,1.451,0.001
DVSGesture,0,6,95.428,99.974,1.284,95.076,100.0,0.911,0.001
DVSGesture,0,7,97.107,99.871,0.97,93.939,100.0,1.686,0.001
DVSGesture,0,8,96.771,99.948,0.866,96.591,100.0,1.315,0.001
DVSGesture,0,9,97.701,100.0,0.713,96.97,100.0,0.886,0.001
DVSGesture,0,10,98.166,99.974,0.44,96.212,99.242,1.744,0.001
DVSGesture,0,11,98.218,99.948,0.63,95.833,100.0,0.646,0.001
DVSGesture,0,12,98.218,99.974,0.549,98.106,99.242,1.286,0.001
DVSGesture,0,13,98.528,100.0,0.502,95.833,100.0,2.594,0.001
DVSGesture,0,14,98.631,100.0,0.386,97.348,100.0,1.287,0.001
DVSGesture,0,15,98.76,100.0,0.413,96.97,99.242,1.598,0.001
DVSGesture,0,16,98.967,100.0,0.317,97.727,99.621,1.262,0.001
DVSGesture,0,17,99.044,100.0,0.295,95.833,100.0,1.316,0.0005
DVSGesture,0,18,99.406,100.0,0.184,96.97,100.0,1.432,0.0005
DVSGesture,0,19,99.664,100.0,0.139,96.591,100.0,1.857,0.0005
DVSGesture,0,20,99.561,100.0,0.17,97.727,100.0,1.525,0.0005
DVSGesture,0,21,99.768,100.0,0.1,96.97,100.0,2.344,0.0005
DVSGesture,0,22,99.69,100.0,0.107,96.97,100.0,2.032,0.0005
DVSGesture,0,23,99.768,100.0,0.108,96.591,100.0,2.197,0.00025
DVSGesture,0,24,99.742,100.0,0.086,96.212,99.242,2.22,0.00025
DVSGesture,0,25,99.819,100.0,0.074,96.97,100.0,2.169,0.00025
DVSGesture,0,26,99.819,100.0,0.081,96.212,99.621,2.813,0.00025
DVSGesture,0,27,99.923,100.0,0.04,95.833,99.621,2.956,0.00025
DVSGesture,0,28,99.819,100.0,0.053,96.591,100.0,2.824,0.00025
DVSGesture,0,29,99.871,100.0,0.041,97.348,99.242,2.229,0.000125
DVSGesture,0,30,99.871,100.0,0.04,96.591,99.621,2.984,0.000125
DVSGesture,0,31,99.871,100.0,0.025,96.591,100.0,2.987,0.000125
DVSGesture,0,32,99.871,100.0,0.042,96.591,99.242,2.927,0.000125
DVSGesture,0,33,99.897,100.0,0.03,95.833,100.0,2.909,0.000125
DVSGesture,0,34,99.897,100.0,0.03,96.591,100.0,2.655,0.000125
DVSGesture,0,35,99.948,100.0,0.028,95.833,99.621,2.838,6.25e-05
DVSGesture,0,36,99.897,100.0,0.019,96.212,100.0,2.878,6.25e-05
DVSGesture,0,37,99.897,100.0,0.02,96.212,99.621,2.619,6.25e-05
DVSGesture,0,38,99.897,100.0,0.032,96.97,100.0,2.594,6.25e-05
DVSGesture,0,39,99.948,100.0,0.022,95.833,99.621,3.001,6.25e-05
DVSGesture,0,40,99.948,100.0,0.011,95.455,100.0,3.255,6.25e-05
DVSGesture,0,41,99.897,100.0,0.017,96.212,100.0,3.148,3.125e-05
DVSGesture,0,42,99.948,100.0,0.015,96.591,100.0,2.858,3.125e-05
DVSGesture,0,43,99.923,100.0,0.019,96.212,100.0,3.014,3.125e-05
DVSGesture,0,44,99.897,100.0,0.018,95.455,100.0,3.204,3.125e-05
DVSGesture,0,45,99.923,100.0,0.019,96.212,100.0,3.202,3.125e-05
DVSGesture,0,46,99.923,100.0,0.009,96.212,100.0,3.0,3.125e-05
DVSGesture,0,47,99.974,100.0,0.01,95.833,100.0,3.105,1.5625e-05
DVSGesture,0,48,99.923,100.0,0.01,96.212,100.0,3.091,1.5625e-05
DVSGesture,0,49,99.948,100.0,0.011,95.833,100.0,3.131,1.5625e-05
DVSGesture,0,50,99.974,100.0,0.004,95.455,100.0,3.231,1.5625e-05
DVSGesture,0,51,99.897,100.0,0.024,95.455,100.0,3.112,1.5625e-05
DVSGesture,0,52,99.948,100.0,0.007,95.833,100.0,3.001,1.5625e-05
DVSGesture,0,53,99.923,100.0,0.019,96.212,100.0,3.002,7.8125e-06
DVSGesture,0,54,99.948,100.0,0.012,96.212,100.0,3.09,7.8125e-06
DVSGesture,0,55,99.948,100.0,0.01,96.591,100.0,2.877,7.8125e-06
DVSGesture,0,56,99.923,100.0,0.009,96.212,100.0,2.945,7.8125e-06
DVSGesture,0,57,99.948,100.0,0.013,95.833,100.0,2.937,7.8125e-06
DVSGesture,0,58,99.974,100.0,0.002,96.212,100.0,2.953,7.8125e-06
DVSGesture,0,59,99.897,100.0,0.014,95.833,100.0,2.954,3.90625e-06
