dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10,1,1,41.252,89.104,3.909,55.66,94.83,3.591,0.001
CIFAR10,1,2,58.182,95.532,3.32,66.2,97.27,3.116,0.001
CIFAR10,1,3,64.56,96.77,2.951,70.58,98.27,2.767,0.001
CIFAR10,1,4,69.952,97.566,2.647,72.17,98.38,2.871,0.001
CIFAR10,1,5,73.07,98.094,2.396,78.77,98.78,2.157,0.001
CIFAR10,1,6,75.51,98.342,2.239,79.67,98.97,2.115,0.001
CIFAR10,1,7,77.778,98.6,2.053,81.37,99.15,2.068,0.001
CIFAR10,1,8,79.194,98.814,1.92,82.42,99.06,1.819,0.001
CIFAR10,1,9,80.712,98.976,1.771,82.22,99.29,1.949,0.001
CIFAR10,1,10,81.764,99.036,1.698,83.98,99.32,1.787,0.001
CIFAR10,1,11,83.17,99.13,1.572,85.54,99.45,1.531,0.001
CIFAR10,1,12,83.796,99.264,1.498,86.44,99.43,1.527,0.001
CIFAR10,1,13,84.6,99.34,1.42,86.34,99.41,1.575,0.001
CIFAR10,1,14,85.11,99.36,1.386,86.42,99.57,1.531,0.001
CIFAR10,1,15,85.886,99.408,1.3,87.46,99.55,1.49,0.001
CIFAR10,1,16,86.474,99.438,1.249,87.21,99.55,1.41,0.001
CIFAR10,1,17,87.188,99.514,1.191,87.42,99.53,1.498,0.001
CIFAR10,1,18,87.574,99.582,1.147,87.53,99.5,1.525,0.001
CIFAR10,1,19,87.872,99.56,1.121,88.5,99.62,1.291,0.001
CIFAR10,1,20,88.296,99.52,1.065,87.74,99.68,1.493,0.001
CIFAR10,1,21,88.648,99.594,1.036,87.44,99.44,1.397,0.001
CIFAR10,1,22,89.138,99.684,1.001,88.19,99.57,1.428,0.001
CIFAR10,1,23,89.436,99.618,0.972,88.27,99.63,1.375,0.001
CIFAR10,1,24,89.958,99.624,0.927,89.12,99.71,1.328,0.001
CIFAR10,1,25,90.328,99.662,0.885,89.69,99.67,1.282,0.001
CIFAR10,1,26,90.406,99.704,0.88,89.72,99.8,1.271,0.001
CIFAR10,1,27,91.058,99.758,0.82,89.63,99.67,1.358,0.001
CIFAR10,1,28,91.132,99.722,0.819,88.89,99.66,1.44,0.001
CIFAR10,1,29,91.134,99.756,0.799,89.33,99.68,1.429,0.001
CIFAR10,1,30,91.636,99.746,0.776,89.81,99.71,1.308,0.001
CIFAR10,1,31,91.602,99.77,0.759,89.19,99.74,1.422,0.001
CIFAR10,1,32,91.962,99.798,0.719,90.17,99.73,1.312,0.0005
CIFAR10,1,33,93.384,99.824,0.59,90.72,99.77,1.188,0.0005
CIFAR10,1,34,93.896,99.864,0.536,91.1,99.73,1.189,0.0005
CIFAR10,1,35,94.082,99.88,0.516,90.68,99.78,1.296,0.0005
CIFAR10,1,36,94.28,99.89,0.51,91.11,99.78,1.201,0.0005
CIFAR10,1,37,94.34,99.898,0.496,90.82,99.81,1.187,0.0005
CIFAR10,1,38,94.452,99.886,0.491,91.32,99.77,1.197,0.0005
CIFAR10,1,39,94.492,99.876,0.49,91.27,99.75,1.207,0.0005
CIFAR10,1,40,94.576,99.902,0.473,91.37,99.82,1.162,0.0005
CIFAR10,1,41,94.644,99.892,0.477,91.31,99.81,1.17,0.0005
CIFAR10,1,42,94.874,99.908,0.444,91.33,99.76,1.219,0.0005
CIFAR10,1,43,94.998,99.912,0.435,91.68,99.78,1.157,0.0005
CIFAR10,1,44,95.034,99.904,0.437,91.04,99.84,1.296,0.0005
CIFAR10,1,45,95.192,99.898,0.428,91.62,99.82,1.227,0.0005
CIFAR10,1,46,95.236,99.92,0.415,91.65,99.81,1.182,0.0005
CIFAR10,1,47,95.178,99.914,0.411,91.69,99.76,1.178,0.0005
CIFAR10,1,48,95.288,99.898,0.412,91.29,99.81,1.277,0.0005
CIFAR10,1,49,95.31,99.914,0.409,91.31,99.8,1.234,0.00025
CIFAR10,1,50,95.976,99.942,0.34,92.33,99.81,1.119,0.00025
CIFAR10,1,51,96.204,99.924,0.333,92.11,99.82,1.183,0.00025
CIFAR10,1,52,96.352,99.936,0.323,92.05,99.82,1.174,0.00025
CIFAR10,1,53,96.252,99.926,0.328,91.95,99.79,1.224,0.00025
CIFAR10,1,54,96.4,99.932,0.314,92.32,99.77,1.149,0.00025
CIFAR10,1,55,96.452,99.914,0.302,92.02,99.77,1.211,0.00025
CIFAR10,1,56,96.406,99.926,0.314,92.0,99.82,1.206,0.000125
