dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10,0,1,39.234,88.672,3.949,54.09,94.38,3.761,0.001
CIFAR10,0,2,56.214,94.968,3.425,64.24,96.88,2.889,0.001
CIFAR10,0,3,62.612,96.3,3.033,66.61,97.71,3.093,0.001
CIFAR10,0,4,67.108,97.33,2.762,71.83,98.36,2.719,0.001
CIFAR10,0,5,70.976,97.85,2.515,75.41,98.67,2.459,0.001
CIFAR10,0,6,73.612,98.244,2.335,76.96,98.89,2.309,0.001
CIFAR10,0,7,75.754,98.424,2.176,79.11,98.89,2.27,0.001
CIFAR10,0,8,77.518,98.68,2.037,79.99,99.15,2.096,0.001
CIFAR10,0,9,78.808,98.798,1.944,81.66,99.17,1.915,0.001
CIFAR10,0,10,79.986,98.9,1.851,83.03,99.29,1.914,0.001
CIFAR10,0,11,81.162,99.052,1.733,84.17,99.15,1.808,0.001
CIFAR10,0,12,81.84,99.042,1.671,83.6,99.28,1.894,0.001
CIFAR10,0,13,82.708,99.198,1.599,82.79,99.16,2.031,0.001
CIFAR10,0,14,83.78,99.234,1.509,85.2,99.43,1.756,0.001
CIFAR10,0,15,84.336,99.266,1.446,84.68,99.3,1.726,0.001
CIFAR10,0,16,84.856,99.348,1.399,84.72,99.44,1.835,0.001
CIFAR10,0,17,85.436,99.41,1.354,86.16,99.58,1.691,0.001
CIFAR10,0,18,86.096,99.47,1.284,86.73,99.58,1.651,0.001
CIFAR10,0,19,86.528,99.492,1.237,86.34,99.64,1.532,0.001
CIFAR10,0,20,87.122,99.522,1.189,87.46,99.55,1.589,0.001
CIFAR10,0,21,87.768,99.552,1.144,87.72,99.53,1.509,0.001
CIFAR10,0,22,87.984,99.578,1.101,88.21,99.7,1.475,0.001
CIFAR10,0,23,88.786,99.594,1.048,87.8,99.58,1.617,0.001
CIFAR10,0,24,88.974,99.63,1.018,88.12,99.63,1.526,0.001
CIFAR10,0,25,89.238,99.638,0.985,89.07,99.64,1.476,0.001
CIFAR10,0,26,89.554,99.64,0.955,88.53,99.75,1.496,0.001
CIFAR10,0,27,90.118,99.696,0.904,89.05,99.67,1.478,0.001
CIFAR10,0,28,90.394,99.73,0.884,88.99,99.71,1.506,0.0005
CIFAR10,0,29,92.048,99.824,0.711,89.71,99.72,1.494,0.0005
CIFAR10,0,30,92.6,99.83,0.652,89.89,99.65,1.486,0.0005
CIFAR10,0,31,92.962,99.86,0.638,90.54,99.72,1.37,0.0005
CIFAR10,0,32,93.13,99.782,0.619,90.23,99.76,1.431,0.0005
CIFAR10,0,33,93.328,99.842,0.608,90.57,99.7,1.437,0.0005
CIFAR10,0,34,93.514,99.842,0.577,90.25,99.69,1.475,0.0005
CIFAR10,0,35,93.61,99.878,0.57,90.55,99.69,1.463,0.0005
CIFAR10,0,36,93.808,99.886,0.557,90.68,99.74,1.462,0.0005
CIFAR10,0,37,93.89,99.886,0.553,90.26,99.69,1.551,0.00025
CIFAR10,0,38,94.764,99.882,0.461,90.77,99.73,1.513,0.00025
CIFAR10,0,39,94.886,99.906,0.444,90.75,99.73,1.534,0.00025
CIFAR10,0,40,94.94,99.912,0.445,91.01,99.75,1.515,0.00025
CIFAR10,0,41,95.07,99.912,0.428,90.96,99.69,1.515,0.00025
CIFAR10,0,42,95.406,99.91,0.396,91.15,99.8,1.571,0.00025
CIFAR10,0,43,95.474,99.922,0.404,91.21,99.71,1.543,0.000125
CIFAR10,0,44,95.832,99.94,0.364,91.28,99.73,1.492,0.000125
CIFAR10,0,45,95.898,99.92,0.366,91.54,99.72,1.501,0.000125
CIFAR10,0,46,95.88,99.932,0.355,91.34,99.76,1.52,0.000125
CIFAR10,0,47,95.938,99.924,0.364,91.3,99.72,1.514,0.000125
CIFAR10,0,48,95.926,99.904,0.361,91.46,99.77,1.534,0.000125
CIFAR10,0,49,96.164,99.942,0.341,91.46,99.73,1.561,6.25e-05
CIFAR10,0,50,96.244,99.934,0.334,91.33,99.76,1.523,6.25e-05
CIFAR10,0,51,96.362,99.948,0.318,91.53,99.73,1.533,6.25e-05
CIFAR10,0,52,96.356,99.94,0.334,91.56,99.74,1.531,6.25e-05
CIFAR10,0,53,96.458,99.956,0.316,91.45,99.78,1.538,6.25e-05
CIFAR10,0,54,96.382,99.94,0.316,91.54,99.72,1.542,6.25e-05
CIFAR10,0,55,96.392,99.93,0.323,91.52,99.73,1.557,3.125e-05
CIFAR10,0,56,96.528,99.94,0.306,91.68,99.74,1.545,3.125e-05
CIFAR10,0,57,96.446,99.916,0.305,91.62,99.75,1.511,3.125e-05
CIFAR10,0,58,96.496,99.936,0.305,91.59,99.73,1.508,3.125e-05
CIFAR10,0,59,96.51,99.932,0.316,91.48,99.71,1.539,3.125e-05
CIFAR10,0,60,96.634,99.972,0.292,91.74,99.68,1.558,3.125e-05
CIFAR10,0,61,96.662,99.952,0.284,91.54,99.75,1.557,1.5625e-05
CIFAR10,0,62,96.67,99.94,0.297,91.55,99.74,1.582,1.5625e-05
CIFAR10,0,63,96.56,99.95,0.304,91.63,99.73,1.563,1.5625e-05
CIFAR10,0,64,96.75,99.93,0.283,91.55,99.72,1.562,1.5625e-05
CIFAR10,0,65,96.598,99.928,0.298,91.68,99.72,1.541,1.5625e-05
CIFAR10,0,66,96.59,99.936,0.293,91.54,99.73,1.542,1.5625e-05
CIFAR10,0,67,96.654,99.946,0.295,91.6,99.76,1.545,7.8125e-06
CIFAR10,0,68,96.672,99.942,0.286,91.65,99.71,1.549,7.8125e-06
CIFAR10,0,69,96.538,99.942,0.305,91.6,99.72,1.555,7.8125e-06
CIFAR10,0,70,96.764,99.936,0.284,91.49,99.72,1.558,7.8125e-06
CIFAR10,0,71,96.664,99.944,0.286,91.55,99.74,1.55,7.8125e-06
CIFAR10,0,72,96.74,99.952,0.286,91.53,99.71,1.542,7.8125e-06
CIFAR10,0,73,96.742,99.948,0.283,91.6,99.71,1.552,3.90625e-06
CIFAR10,0,74,96.76,99.954,0.279,91.74,99.69,1.546,3.90625e-06
CIFAR10,0,75,96.666,99.946,0.294,91.57,99.71,1.567,3.90625e-06
CIFAR10,0,76,96.706,99.946,0.291,91.65,99.7,1.553,3.90625e-06
CIFAR10,0,77,96.794,99.938,0.291,91.66,99.73,1.55,3.90625e-06
CIFAR10,0,78,96.648,99.934,0.285,91.66,99.69,1.574,3.90625e-06
CIFAR10,0,79,96.682,99.928,0.294,91.67,99.72,1.556,1.953125e-06
CIFAR10,0,80,96.642,99.934,0.308,91.55,99.7,1.552,1.953125e-06
CIFAR10,0,81,96.754,99.938,0.281,91.72,99.72,1.561,1.953125e-06
CIFAR10,0,82,96.532,99.94,0.302,91.78,99.7,1.553,1.953125e-06
CIFAR10,0,83,96.778,99.934,0.279,91.49,99.72,1.569,1.953125e-06
CIFAR10,0,84,96.758,99.942,0.289,91.64,99.7,1.548,1.953125e-06
CIFAR10,0,85,96.706,99.938,0.28,91.73,99.71,1.557,9.765625e-07
CIFAR10,0,86,96.778,99.952,0.279,91.79,99.73,1.56,9.765625e-07
CIFAR10,0,87,96.668,99.938,0.283,91.46,99.7,1.567,9.765625e-07
CIFAR10,0,88,96.644,99.942,0.298,91.71,99.73,1.559,9.765625e-07
CIFAR10,0,89,96.76,99.934,0.281,91.75,99.73,1.544,9.765625e-07
CIFAR10,0,90,96.618,99.948,0.299,91.81,99.72,1.553,9.765625e-07
CIFAR10,0,91,96.714,99.93,0.299,91.62,99.69,1.564,4.8828125e-07
CIFAR10,0,92,96.794,99.96,0.275,91.69,99.73,1.553,4.8828125e-07
CIFAR10,0,93,96.678,99.964,0.289,91.59,99.71,1.554,4.8828125e-07
CIFAR10,0,94,96.82,99.946,0.282,91.57,99.71,1.558,4.8828125e-07
CIFAR10,0,95,96.71,99.952,0.288,91.7,99.73,1.55,4.8828125e-07
CIFAR10,0,96,96.694,99.938,0.293,91.69,99.71,1.561,4.8828125e-07
CIFAR10,0,97,96.634,99.936,0.299,91.6,99.73,1.538,2.44140625e-07
CIFAR10,0,98,96.706,99.956,0.291,91.67,99.72,1.556,2.44140625e-07
CIFAR10,0,99,96.674,99.92,0.301,91.55,99.7,1.543,2.44140625e-07
CIFAR10,0,100,96.776,99.946,0.285,91.57,99.69,1.553,2.44140625e-07
CIFAR10,0,101,96.712,99.93,0.299,91.75,99.7,1.547,2.44140625e-07
CIFAR10,0,102,96.84,99.942,0.267,91.71,99.72,1.56,2.44140625e-07
CIFAR10,0,103,96.682,99.916,0.297,91.57,99.72,1.556,1.220703125e-07
CIFAR10,0,104,96.672,99.944,0.288,91.64,99.72,1.553,1.220703125e-07
CIFAR10,0,105,96.786,99.936,0.287,91.75,99.72,1.557,1.220703125e-07
CIFAR10,0,106,96.786,99.946,0.274,91.76,99.71,1.55,1.220703125e-07
CIFAR10,0,107,96.724,99.956,0.296,91.76,99.71,1.545,1.220703125e-07
CIFAR10,0,108,96.524,99.938,0.299,91.7,99.71,1.552,1.220703125e-07
CIFAR10,0,109,96.79,99.938,0.279,91.63,99.69,1.557,6.103515625e-08
