dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR100,0,1,7.56,25.742,8.363,12.33,36.9,8.135,0.001
CIFAR100,0,2,14.266,39.694,8.462,19.99,48.48,8.694,0.001
CIFAR100,0,3,20.952,50.398,8.147,25.57,56.16,8.133,0.001
CIFAR100,0,4,26.53,57.994,7.805,30.55,61.71,8.204,0.001
CIFAR100,0,5,30.782,63.326,7.426,34.46,67.29,7.602,0.001
CIFAR100,0,6,34.54,67.034,7.133,39.58,71.21,7.07,0.001
CIFAR100,0,7,38.086,70.512,6.768,41.98,74.02,6.631,0.001
CIFAR100,0,8,40.32,73.172,6.503,44.27,76.1,6.463,0.001
CIFAR100,0,9,43.778,75.43,6.187,46.74,77.98,6.356,0.001
CIFAR100,0,10,45.698,77.392,5.966,47.56,78.72,6.251,0.001
CIFAR100,0,11,48.024,79.444,5.655,50.09,80.79,6.033,0.001
CIFAR100,0,12,49.996,80.85,5.445,51.91,81.63,5.845,0.001
CIFAR100,0,13,52.32,82.414,5.177,53.3,82.35,5.881,0.001
CIFAR100,0,14,54.078,83.596,4.938,54.23,83.44,5.777,0.001
CIFAR100,0,15,55.71,84.834,4.737,54.23,83.79,5.753,0.001
CIFAR100,0,16,57.508,85.94,4.542,56.65,84.93,5.404,0.001
CIFAR100,0,17,58.918,86.79,4.381,57.55,85.2,5.437,0.001
CIFAR100,0,18,60.43,87.908,4.198,57.03,85.35,5.566,0.001
CIFAR100,0,19,61.576,88.466,4.058,58.99,86.42,5.37,0.001
CIFAR100,0,20,63.168,89.572,3.864,59.94,86.47,5.308,0.001
CIFAR100,0,21,64.568,89.888,3.719,59.35,86.89,5.494,0.001
CIFAR100,0,22,65.402,90.646,3.593,60.14,87.48,5.413,0.001
CIFAR100,0,23,66.778,91.246,3.462,60.66,87.16,5.46,0.001
CIFAR100,0,24,68.07,91.768,3.287,61.05,87.49,5.418,0.001
CIFAR100,0,25,69.046,92.394,3.183,61.96,87.83,5.294,0.001
CIFAR100,0,26,70.336,92.92,3.023,61.9,87.99,5.439,0.001
CIFAR100,0,27,71.602,93.304,2.896,62.63,87.92,5.467,0.001
CIFAR100,0,28,72.26,93.646,2.805,61.61,87.46,5.659,0.001
CIFAR100,0,29,73.376,94.252,2.685,63.23,88.55,5.438,0.001
CIFAR100,0,30,74.262,94.348,2.591,62.55,88.07,5.777,0.001
CIFAR100,0,31,74.97,94.874,2.49,63.57,88.73,5.491,0.0005
CIFAR100,0,32,79.512,96.14,1.927,65.37,89.94,5.197,0.0005
CIFAR100,0,33,80.554,96.546,1.819,65.86,89.69,5.272,0.0005
CIFAR100,0,34,81.246,96.794,1.735,65.21,89.73,5.298,0.0005
CIFAR100,0,35,82.06,96.792,1.695,66.29,89.87,5.366,0.0005
CIFAR100,0,36,82.656,97.072,1.617,65.79,89.52,5.423,0.0005
CIFAR100,0,37,83.118,97.212,1.554,66.36,89.75,5.388,0.0005
CIFAR100,0,38,83.596,97.276,1.515,66.11,89.69,5.494,0.00025
CIFAR100,0,39,85.82,97.804,1.279,66.84,90.14,5.413,0.00025
CIFAR100,0,40,86.522,97.858,1.237,67.14,90.04,5.308,0.00025
CIFAR100,0,41,86.582,97.906,1.216,67.04,90.12,5.444,0.00025
CIFAR100,0,42,87.134,97.966,1.179,66.99,90.12,5.473,0.00025
CIFAR100,0,43,87.354,98.004,1.156,66.81,90.25,5.455,0.00025
CIFAR100,0,44,87.422,97.966,1.161,66.95,90.14,5.514,0.000125
CIFAR100,0,45,88.634,98.276,1.024,67.55,90.37,5.441,0.000125
CIFAR100,0,46,88.816,98.25,1.012,68.0,90.6,5.452,0.000125
CIFAR100,0,47,89.076,98.35,0.973,67.46,90.63,5.482,0.000125
CIFAR100,0,48,89.09,98.29,0.976,67.84,90.4,5.467,0.000125
CIFAR100,0,49,89.454,98.344,0.965,67.36,90.36,5.532,0.000125
CIFAR100,0,50,89.266,98.356,0.975,67.76,90.49,5.534,6.25e-05
CIFAR100,0,51,89.882,98.546,0.912,67.93,90.6,5.472,6.25e-05
CIFAR100,0,52,90.12,98.522,0.889,68.02,90.57,5.495,6.25e-05
CIFAR100,0,53,90.108,98.59,0.89,67.94,90.51,5.496,6.25e-05
CIFAR100,0,54,90.41,98.638,0.853,67.91,90.73,5.499,6.25e-05
CIFAR100,0,55,90.3,98.584,0.868,67.95,90.47,5.535,6.25e-05
CIFAR100,0,56,90.572,98.486,0.858,68.0,90.69,5.501,3.125e-05
CIFAR100,0,57,90.688,98.706,0.833,68.1,90.63,5.532,3.125e-05
CIFAR100,0,58,90.618,98.61,0.839,68.15,90.69,5.542,3.125e-05
CIFAR100,0,59,90.936,98.686,0.826,68.14,90.73,5.509,3.125e-05
CIFAR100,0,60,90.77,98.69,0.814,68.36,90.59,5.508,3.125e-05
CIFAR100,0,61,91.01,98.7,0.804,68.16,90.89,5.542,3.125e-05
CIFAR100,0,62,90.712,98.676,0.837,68.27,90.53,5.533,1.5625e-05
CIFAR100,0,63,90.868,98.774,0.82,68.29,90.74,5.557,1.5625e-05
CIFAR100,0,64,91.042,98.67,0.815,68.02,90.62,5.576,1.5625e-05
CIFAR100,0,65,91.108,98.75,0.779,68.22,90.71,5.523,1.5625e-05
CIFAR100,0,66,91.05,98.662,0.807,67.98,90.67,5.558,1.5625e-05
CIFAR100,0,67,91.13,98.684,0.808,68.41,90.76,5.529,1.5625e-05
CIFAR100,0,68,91.094,98.736,0.798,68.07,90.8,5.543,7.8125e-06
CIFAR100,0,69,91.09,98.71,0.804,68.13,90.88,5.549,7.8125e-06
CIFAR100,0,70,91.038,98.72,0.785,68.03,90.72,5.556,7.8125e-06
CIFAR100,0,71,91.154,98.712,0.79,68.24,90.73,5.548,7.8125e-06
