dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10DVS,1,1,25.189,77.844,6.105,32.6,85.2,5.593,0.001
CIFAR10DVS,1,2,35.311,85.633,6.093,39.3,88.8,5.699,0.001
CIFAR10DVS,1,3,40.122,88.756,5.948,44.7,88.7,6.387,0.001
CIFAR10DVS,1,4,44.622,90.344,5.747,46.3,92.1,5.625,0.001
CIFAR10DVS,1,5,47.7,91.656,5.686,51.3,92.7,5.218,0.001
CIFAR10DVS,1,6,52.222,93.167,5.391,49.1,91.5,5.681,0.001
CIFAR10DVS,1,7,54.678,93.933,5.203,51.0,92.5,6.452,0.001
CIFAR10DVS,1,8,57.689,94.944,4.893,56.4,94.5,4.85,0.001
CIFAR10DVS,1,9,59.333,95.633,4.65,56.9,95.4,5.147,0.001
CIFAR10DVS,1,10,62.678,96.267,4.381,60.3,95.7,5.11,0.001
CIFAR10DVS,1,11,64.722,96.311,4.238,60.0,95.5,5.678,0.001
CIFAR10DVS,1,12,66.644,97.167,4.024,60.4,95.4,5.989,0.001
CIFAR10DVS,1,13,68.922,97.6,3.694,60.1,95.9,6.04,0.001
CIFAR10DVS,1,14,69.933,97.833,3.668,65.9,96.5,5.276,0.0005
CIFAR10DVS,1,15,75.389,98.544,2.753,67.9,97.3,4.908,0.0005
CIFAR10DVS,1,16,77.867,98.844,2.565,68.2,97.1,5.09,0.0005
CIFAR10DVS,1,17,79.6,99.311,2.297,69.1,96.9,5.135,0.0005
CIFAR10DVS,1,18,80.767,99.189,2.241,69.2,97.2,5.247,0.0005
CIFAR10DVS,1,19,82.756,99.433,1.921,69.9,97.1,5.443,0.0005
CIFAR10DVS,1,20,83.222,99.556,1.876,70.4,97.7,5.213,0.00025
CIFAR10DVS,1,21,88.133,99.744,1.194,71.0,97.9,5.547,0.00025
CIFAR10DVS,1,22,89.511,99.789,1.045,71.2,97.6,5.579,0.00025
CIFAR10DVS,1,23,90.489,99.811,0.913,72.5,98.0,5.569,0.00025
CIFAR10DVS,1,24,91.322,99.867,0.841,72.4,98.3,5.617,0.00025
CIFAR10DVS,1,25,92.322,99.856,0.741,71.5,97.9,6.055,0.00025
CIFAR10DVS,1,26,92.533,99.944,0.657,71.6,98.2,6.1,0.000125
CIFAR10DVS,1,27,95.411,99.967,0.375,72.7,98.0,6.151,0.000125
CIFAR10DVS,1,28,96.044,99.978,0.35,73.1,98.1,6.411,0.000125
CIFAR10DVS,1,29,96.233,99.989,0.301,72.7,98.3,6.36,0.000125
CIFAR10DVS,1,30,96.933,100.0,0.255,72.8,98.4,6.525,0.000125
CIFAR10DVS,1,31,97.156,100.0,0.219,72.3,98.4,6.846,0.000125
CIFAR10DVS,1,32,97.467,99.989,0.184,72.9,98.2,7.095,6.25e-05
CIFAR10DVS,1,33,98.078,100.0,0.132,73.4,97.8,6.744,6.25e-05
CIFAR10DVS,1,34,98.589,100.0,0.118,73.7,98.3,6.864,6.25e-05
CIFAR10DVS,1,35,98.3,99.989,0.142,73.6,98.9,7.078,6.25e-05
CIFAR10DVS,1,36,98.767,100.0,0.095,73.5,98.5,6.901,6.25e-05
CIFAR10DVS,1,37,98.789,99.989,0.093,74.3,98.3,7.007,6.25e-05
CIFAR10DVS,1,38,98.844,100.0,0.071,72.8,98.3,7.007,3.125e-05
CIFAR10DVS,1,39,99.211,100.0,0.053,73.6,98.0,7.159,3.125e-05
CIFAR10DVS,1,40,99.156,100.0,0.06,74.0,98.5,7.259,3.125e-05
