dataset,alpha_post,epoch,train_acc1,train_acc5,train_loss,test_acc1,test_acc5,test_loss,lr
CIFAR10,-1,1,36.172,87.176,3.954,53.16,94.99,3.427,0.001
CIFAR10,-1,2,52.276,94.116,3.61,61.0,96.21,3.261,0.001
CIFAR10,-1,3,58.092,95.524,3.308,63.52,97.15,3.201,0.001
CIFAR10,-1,4,63.03,96.438,3.018,67.13,97.55,2.987,0.001
CIFAR10,-1,5,65.388,97.022,2.882,69.22,97.92,3.1,0.001
CIFAR10,-1,6,67.936,97.636,2.693,72.43,98.15,2.554,0.001
CIFAR10,-1,7,69.714,97.808,2.585,74.96,98.63,2.466,0.001
CIFAR10,-1,8,71.484,97.988,2.452,74.27,98.46,2.605,0.001
CIFAR10,-1,9,73.39,98.264,2.317,75.63,98.55,2.76,0.001
CIFAR10,-1,10,74.456,98.422,2.237,78.34,98.85,2.127,0.001
CIFAR10,-1,11,76.084,98.634,2.117,78.77,98.93,2.248,0.001
CIFAR10,-1,12,76.61,98.672,2.058,79.29,99.0,2.302,0.001
CIFAR10,-1,13,77.884,98.802,1.994,80.73,99.07,1.951,0.001
CIFAR10,-1,14,78.69,98.88,1.917,80.61,99.08,2.194,0.001
CIFAR10,-1,15,79.53,98.938,1.84,82.04,99.25,1.983,0.001
CIFAR10,-1,16,80.082,98.912,1.801,82.79,99.25,1.907,0.001
CIFAR10,-1,17,80.65,99.042,1.769,82.31,99.27,2.011,0.001
CIFAR10,-1,18,81.034,99.086,1.717,83.54,99.26,1.928,0.001
CIFAR10,-1,19,82.006,99.142,1.656,83.85,99.33,1.77,0.001
CIFAR10,-1,20,82.728,99.204,1.588,82.37,99.32,2.168,0.001
CIFAR10,-1,21,82.81,99.232,1.585,84.47,99.31,1.828,0.001
CIFAR10,-1,22,83.378,99.25,1.536,83.05,99.34,2.018,0.001
CIFAR10,-1,23,83.736,99.308,1.487,84.61,99.37,1.872,0.001
CIFAR10,-1,24,84.172,99.314,1.443,85.31,99.36,1.811,0.001
CIFAR10,-1,25,84.592,99.372,1.402,84.92,99.41,1.766,0.001
CIFAR10,-1,26,84.922,99.344,1.385,85.01,99.43,1.756,0.001
CIFAR10,-1,27,85.124,99.398,1.347,85.99,99.44,1.738,0.001
CIFAR10,-1,28,85.326,99.38,1.341,85.29,99.49,1.801,0.001
CIFAR10,-1,29,85.86,99.462,1.301,85.78,99.52,1.742,0.001
CIFAR10,-1,30,86.002,99.472,1.276,85.47,99.53,1.752,0.001
CIFAR10,-1,31,86.324,99.51,1.235,86.31,99.49,1.703,0.001
CIFAR10,-1,32,86.73,99.502,1.214,86.94,99.61,1.709,0.001
CIFAR10,-1,33,86.93,99.524,1.192,85.92,99.49,1.768,0.001
CIFAR10,-1,34,87.138,99.524,1.16,86.74,99.53,1.731,0.001
CIFAR10,-1,35,87.62,99.588,1.129,86.7,99.51,1.727,0.001
CIFAR10,-1,36,87.624,99.574,1.132,86.47,99.58,1.832,0.001
CIFAR10,-1,37,87.814,99.608,1.097,86.65,99.57,1.724,0.0005
CIFAR10,-1,38,89.418,99.626,0.943,87.73,99.63,1.617,0.0005
CIFAR10,-1,39,89.938,99.7,0.905,87.95,99.66,1.662,0.0005
CIFAR10,-1,40,90.15,99.704,0.88,88.15,99.59,1.754,0.0005
CIFAR10,-1,41,90.424,99.696,0.87,87.95,99.61,1.729,0.0005
CIFAR10,-1,42,90.622,99.716,0.852,87.58,99.59,1.773,0.0005
CIFAR10,-1,43,90.75,99.732,0.828,88.66,99.67,1.65,0.0005
CIFAR10,-1,44,90.986,99.724,0.804,88.31,99.66,1.689,0.00025
CIFAR10,-1,45,91.822,99.786,0.719,89.11,99.67,1.669,0.00025
CIFAR10,-1,46,91.96,99.778,0.702,88.73,99.6,1.745,0.00025
CIFAR10,-1,47,92.18,99.814,0.683,88.79,99.7,1.77,0.00025
CIFAR10,-1,48,92.122,99.778,0.685,88.92,99.65,1.721,0.00025
CIFAR10,-1,49,92.462,99.8,0.669,88.82,99.71,1.773,0.00025
CIFAR10,-1,50,92.338,99.802,0.666,88.91,99.66,1.708,0.000125
CIFAR10,-1,51,92.894,99.842,0.632,89.32,99.73,1.746,0.000125
CIFAR10,-1,52,92.954,99.812,0.626,89.4,99.73,1.756,0.000125
CIFAR10,-1,53,93.15,99.814,0.579,89.23,99.65,1.785,0.000125
CIFAR10,-1,54,93.072,99.826,0.603,89.14,99.65,1.76,0.000125
CIFAR10,-1,55,93.07,99.822,0.598,89.01,99.69,1.81,0.000125
CIFAR10,-1,56,93.212,99.854,0.6,89.26,99.7,1.739,6.25e-05
CIFAR10,-1,57,93.378,99.846,0.567,89.47,99.7,1.736,6.25e-05
CIFAR10,-1,58,93.638,99.842,0.561,89.75,99.76,1.755,6.25e-05
CIFAR10,-1,59,93.746,99.854,0.547,89.48,99.7,1.772,6.25e-05
CIFAR10,-1,60,93.554,99.856,0.557,89.41,99.7,1.818,6.25e-05
CIFAR10,-1,61,93.706,99.84,0.551,89.67,99.69,1.765,6.25e-05
CIFAR10,-1,62,93.668,99.84,0.545,89.71,99.7,1.76,3.125e-05
CIFAR10,-1,63,93.708,99.892,0.535,89.59,99.73,1.778,3.125e-05
CIFAR10,-1,64,93.846,99.844,0.536,89.7,99.69,1.777,3.125e-05
CIFAR10,-1,65,93.864,99.858,0.532,89.77,99.71,1.776,3.125e-05
CIFAR10,-1,66,93.824,99.856,0.537,89.48,99.71,1.793,3.125e-05
CIFAR10,-1,67,93.946,99.836,0.522,89.67,99.72,1.773,3.125e-05
CIFAR10,-1,68,93.848,99.844,0.532,89.49,99.69,1.798,1.5625e-05
CIFAR10,-1,69,93.766,99.864,0.539,89.56,99.71,1.784,1.5625e-05
CIFAR10,-1,70,93.906,99.86,0.521,89.54,99.71,1.778,1.5625e-05
CIFAR10,-1,71,93.916,99.862,0.525,89.51,99.71,1.803,1.5625e-05
CIFAR10,-1,72,93.866,99.88,0.52,89.71,99.71,1.793,1.5625e-05
CIFAR10,-1,73,94.004,99.864,0.508,89.59,99.75,1.807,1.5625e-05
CIFAR10,-1,74,93.978,99.852,0.522,89.55,99.73,1.789,7.8125e-06
CIFAR10,-1,75,94.074,99.862,0.504,89.54,99.72,1.789,7.8125e-06
CIFAR10,-1,76,94.168,99.878,0.496,89.49,99.73,1.808,7.8125e-06
CIFAR10,-1,77,93.97,99.86,0.522,89.53,99.71,1.797,7.8125e-06
CIFAR10,-1,78,94.014,99.884,0.51,89.88,99.72,1.805,7.8125e-06
CIFAR10,-1,79,93.92,99.874,0.529,89.62,99.7,1.812,7.8125e-06
CIFAR10,-1,80,94.066,99.86,0.517,89.56,99.73,1.807,3.90625e-06
CIFAR10,-1,81,94.03,99.856,0.506,89.52,99.7,1.819,3.90625e-06
CIFAR10,-1,82,93.8,99.854,0.549,89.69,99.71,1.822,3.90625e-06
CIFAR10,-1,83,94.05,99.85,0.506,89.48,99.73,1.814,3.90625e-06
CIFAR10,-1,84,94.088,99.9,0.496,89.65,99.69,1.809,3.90625e-06
CIFAR10,-1,85,93.87,99.88,0.532,89.62,99.71,1.816,3.90625e-06
CIFAR10,-1,86,93.966,99.858,0.512,89.65,99.69,1.812,1.953125e-06
CIFAR10,-1,87,94.114,99.878,0.502,89.7,99.69,1.812,1.953125e-06
CIFAR10,-1,88,94.0,99.88,0.523,89.75,99.72,1.8,1.953125e-06
CIFAR10,-1,89,94.108,99.876,0.497,89.72,99.73,1.8,1.953125e-06
CIFAR10,-1,90,94.054,99.854,0.52,89.65,99.7,1.816,1.953125e-06
CIFAR10,-1,91,94.06,99.874,0.517,89.58,99.71,1.804,1.953125e-06
CIFAR10,-1,92,94.064,99.858,0.51,89.68,99.7,1.805,9.765625e-07
CIFAR10,-1,93,94.074,99.84,0.515,89.61,99.71,1.809,9.765625e-07
CIFAR10,-1,94,94.1,99.88,0.511,89.64,99.7,1.804,9.765625e-07
CIFAR10,-1,95,94.14,99.87,0.507,89.59,99.71,1.806,9.765625e-07
CIFAR10,-1,96,94.11,99.868,0.507,89.58,99.7,1.815,9.765625e-07
CIFAR10,-1,97,94.152,99.864,0.515,89.53,99.7,1.813,9.765625e-07
CIFAR10,-1,98,93.902,99.874,0.535,89.68,99.72,1.804,4.8828125e-07
CIFAR10,-1,99,94.094,99.846,0.507,89.72,99.68,1.807,4.8828125e-07
CIFAR10,-1,100,94.226,99.88,0.493,89.59,99.71,1.817,4.8828125e-07
CIFAR10,-1,101,94.028,99.862,0.507,89.67,99.7,1.815,4.8828125e-07
CIFAR10,-1,102,94.174,99.888,0.485,89.79,99.69,1.808,4.8828125e-07
CIFAR10,-1,103,93.876,99.866,0.531,89.73,99.72,1.812,4.8828125e-07
CIFAR10,-1,104,93.9,99.878,0.518,89.68,99.71,1.813,2.44140625e-07
CIFAR10,-1,105,94.052,99.85,0.512,89.59,99.71,1.804,2.44140625e-07
CIFAR10,-1,106,94.102,99.85,0.513,89.71,99.72,1.815,2.44140625e-07
CIFAR10,-1,107,93.978,99.846,0.512,89.65,99.74,1.809,2.44140625e-07
CIFAR10,-1,108,94.02,99.846,0.522,89.64,99.74,1.809,2.44140625e-07
CIFAR10,-1,109,94.15,99.882,0.508,89.59,99.73,1.796,2.44140625e-07
CIFAR10,-1,110,94.038,99.856,0.518,89.65,99.75,1.797,1.220703125e-07
CIFAR10,-1,111,94.026,99.868,0.511,89.72,99.73,1.794,1.220703125e-07
CIFAR10,-1,112,94.162,99.88,0.512,89.74,99.74,1.804,1.220703125e-07
CIFAR10,-1,113,94.092,99.852,0.506,89.69,99.73,1.803,1.220703125e-07
CIFAR10,-1,114,94.154,99.872,0.503,89.64,99.72,1.798,1.220703125e-07
CIFAR10,-1,115,94.002,99.856,0.523,89.71,99.72,1.805,1.220703125e-07
CIFAR10,-1,116,93.97,99.852,0.51,89.74,99.72,1.803,6.103515625e-08
CIFAR10,-1,117,94.2,99.87,0.506,89.67,99.73,1.799,6.103515625e-08
CIFAR10,-1,118,93.99,99.826,0.508,89.69,99.72,1.804,6.103515625e-08
CIFAR10,-1,119,94.04,99.866,0.53,89.66,99.71,1.803,6.103515625e-08
CIFAR10,-1,120,94.124,99.89,0.517,89.66,99.72,1.806,6.103515625e-08
CIFAR10,-1,121,93.958,99.894,0.504,89.66,99.73,1.814,6.103515625e-08
CIFAR10,-1,122,94.122,99.886,0.506,89.7,99.73,1.81,3.0517578125e-08
CIFAR10,-1,123,94.166,99.868,0.502,89.66,99.72,1.81,3.0517578125e-08
CIFAR10,-1,124,93.93,99.876,0.516,89.7,99.7,1.809,3.0517578125e-08
CIFAR10,-1,125,94.04,99.87,0.505,89.72,99.7,1.809,3.0517578125e-08
CIFAR10,-1,126,93.99,99.862,0.519,89.72,99.72,1.804,3.0517578125e-08
CIFAR10,-1,127,94.14,99.872,0.503,89.75,99.7,1.803,3.0517578125e-08
CIFAR10,-1,128,93.89,99.876,0.52,89.72,99.71,1.807,1.52587890625e-08
CIFAR10,-1,129,94.096,99.89,0.496,89.72,99.72,1.802,1.52587890625e-08
CIFAR10,-1,130,94.12,99.86,0.515,89.71,99.71,1.807,1.52587890625e-08
CIFAR10,-1,131,94.194,99.87,0.508,89.63,99.72,1.805,1.52587890625e-08
CIFAR10,-1,132,94.114,99.85,0.503,89.73,99.72,1.802,1.52587890625e-08
CIFAR10,-1,133,94.096,99.886,0.496,89.74,99.72,1.806,1.52587890625e-08
CIFAR10,-1,134,94.162,99.87,0.502,89.81,99.74,1.799,1.52587890625e-08
CIFAR10,-1,135,94.084,99.89,0.508,89.76,99.73,1.8,1.52587890625e-08
CIFAR10,-1,136,94.186,99.876,0.507,89.72,99.74,1.803,1.52587890625e-08
CIFAR10,-1,137,93.778,99.89,0.54,89.76,99.72,1.804,1.52587890625e-08
CIFAR10,-1,138,94.134,99.86,0.507,89.74,99.73,1.801,1.52587890625e-08
CIFAR10,-1,139,93.904,99.856,0.516,89.73,99.74,1.805,1.52587890625e-08
CIFAR10,-1,140,93.91,99.852,0.53,89.76,99.72,1.806,1.52587890625e-08
CIFAR10,-1,141,94.19,99.858,0.497,89.7,99.73,1.807,1.52587890625e-08
CIFAR10,-1,142,94.102,99.858,0.524,89.72,99.73,1.804,1.52587890625e-08
CIFAR10,-1,143,94.122,99.848,0.517,89.72,99.73,1.801,1.52587890625e-08
CIFAR10,-1,144,94.086,99.858,0.517,89.74,99.73,1.803,1.52587890625e-08
CIFAR10,-1,145,94.086,99.876,0.511,89.66,99.73,1.804,1.52587890625e-08
CIFAR10,-1,146,94.068,99.858,0.508,89.71,99.72,1.8,1.52587890625e-08
CIFAR10,-1,147,94.034,99.852,0.509,89.66,99.73,1.803,1.52587890625e-08
CIFAR10,-1,148,93.93,99.856,0.528,89.72,99.73,1.806,1.52587890625e-08
CIFAR10,-1,149,94.026,99.866,0.509,89.64,99.74,1.805,1.52587890625e-08
CIFAR10,-1,150,94.05,99.864,0.5,89.72,99.73,1.809,1.52587890625e-08
CIFAR10,-1,151,94.104,99.872,0.505,89.76,99.73,1.809,1.52587890625e-08
CIFAR10,-1,152,94.154,99.88,0.501,89.65,99.72,1.81,1.52587890625e-08
CIFAR10,-1,153,94.034,99.852,0.503,89.61,99.72,1.81,1.52587890625e-08
CIFAR10,-1,154,94.052,99.822,0.508,89.69,99.72,1.808,1.52587890625e-08
CIFAR10,-1,155,94.202,99.876,0.501,89.65,99.72,1.806,1.52587890625e-08
CIFAR10,-1,156,94.142,99.85,0.505,89.7,99.72,1.805,1.52587890625e-08
CIFAR10,-1,157,93.962,99.854,0.517,89.73,99.72,1.808,1.52587890625e-08
CIFAR10,-1,158,94.024,99.878,0.513,89.64,99.73,1.809,1.52587890625e-08
CIFAR10,-1,159,94.18,99.836,0.521,89.63,99.73,1.81,1.52587890625e-08
CIFAR10,-1,160,94.092,99.882,0.506,89.63,99.73,1.808,1.52587890625e-08
CIFAR10,-1,161,94.33,99.854,0.505,89.75,99.73,1.807,1.52587890625e-08
CIFAR10,-1,162,94.008,99.864,0.508,89.73,99.73,1.806,1.52587890625e-08
CIFAR10,-1,163,94.03,99.854,0.494,89.6,99.73,1.808,1.52587890625e-08
CIFAR10,-1,164,94.114,99.9,0.509,89.66,99.73,1.803,1.52587890625e-08
CIFAR10,-1,165,94.1,99.874,0.505,89.65,99.73,1.804,1.52587890625e-08
CIFAR10,-1,166,94.238,99.858,0.497,89.71,99.72,1.804,1.52587890625e-08
CIFAR10,-1,167,93.908,99.852,0.518,89.68,99.72,1.807,1.52587890625e-08
CIFAR10,-1,168,94.18,99.866,0.506,89.7,99.72,1.804,1.52587890625e-08
CIFAR10,-1,169,93.93,99.882,0.52,89.74,99.72,1.803,1.52587890625e-08
CIFAR10,-1,170,94.042,99.858,0.488,89.7,99.73,1.804,1.52587890625e-08
CIFAR10,-1,171,94.016,99.86,0.519,89.69,99.73,1.806,1.52587890625e-08
CIFAR10,-1,172,93.878,99.88,0.525,89.72,99.73,1.8,1.52587890625e-08
CIFAR10,-1,173,94.104,99.872,0.499,89.76,99.72,1.799,1.52587890625e-08
CIFAR10,-1,174,93.924,99.854,0.522,89.71,99.72,1.8,1.52587890625e-08
CIFAR10,-1,175,93.936,99.862,0.51,89.67,99.72,1.807,1.52587890625e-08
CIFAR10,-1,176,94.076,99.864,0.52,89.77,99.73,1.803,1.52587890625e-08
CIFAR10,-1,177,94.08,99.88,0.506,89.7,99.73,1.805,1.52587890625e-08
CIFAR10,-1,178,94.172,99.83,0.516,89.65,99.73,1.806,1.52587890625e-08
CIFAR10,-1,179,93.988,99.876,0.519,89.74,99.73,1.803,1.52587890625e-08
CIFAR10,-1,180,94.078,99.9,0.507,89.78,99.72,1.799,1.52587890625e-08
CIFAR10,-1,181,94.08,99.866,0.517,89.76,99.73,1.795,1.52587890625e-08
CIFAR10,-1,182,94.17,99.882,0.497,89.62,99.72,1.8,1.52587890625e-08
CIFAR10,-1,183,94.206,99.862,0.509,89.65,99.72,1.8,1.52587890625e-08
CIFAR10,-1,184,94.182,99.866,0.502,89.69,99.71,1.803,1.52587890625e-08
CIFAR10,-1,185,94.12,99.892,0.505,89.65,99.73,1.803,1.52587890625e-08
CIFAR10,-1,186,94.178,99.868,0.512,89.63,99.73,1.804,1.52587890625e-08
CIFAR10,-1,187,94.184,99.85,0.508,89.65,99.72,1.805,1.52587890625e-08
CIFAR10,-1,188,94.152,99.852,0.511,89.68,99.72,1.807,1.52587890625e-08
CIFAR10,-1,189,94.182,99.854,0.51,89.71,99.72,1.802,1.52587890625e-08
CIFAR10,-1,190,94.1,99.882,0.501,89.68,99.72,1.805,1.52587890625e-08
CIFAR10,-1,191,93.948,99.834,0.52,89.72,99.73,1.801,1.52587890625e-08
CIFAR10,-1,192,93.996,99.834,0.514,89.62,99.73,1.804,1.52587890625e-08
CIFAR10,-1,193,94.158,99.878,0.502,89.69,99.73,1.801,1.52587890625e-08
CIFAR10,-1,194,94.058,99.858,0.507,89.68,99.72,1.802,1.52587890625e-08
CIFAR10,-1,195,94.076,99.872,0.515,89.68,99.72,1.804,1.52587890625e-08
CIFAR10,-1,196,94.218,99.866,0.503,89.66,99.73,1.806,1.52587890625e-08
CIFAR10,-1,197,94.09,99.85,0.506,89.66,99.73,1.805,1.52587890625e-08
CIFAR10,-1,198,94.152,99.874,0.511,89.64,99.73,1.81,1.52587890625e-08
CIFAR10,-1,199,94.004,99.874,0.52,89.62,99.72,1.81,1.52587890625e-08
CIFAR10,-1,200,93.948,99.858,0.518,89.67,99.72,1.804,1.52587890625e-08
